FilePaths	FileNames	RealLabel	PredictScore	PredictClass
Dataset/METU/test_set/Positive/00004.jpg	00004.jpg	1	1.0	1
Dataset/METU/test_set/Negative/00004.jpg	00004.jpg	0	3.7355956e-06	0
Dataset/METU/test_set/Negative/00006.jpg	00006.jpg	0	7.416533e-06	0
Dataset/METU/test_set/Positive/00006.jpg	00006.jpg	1	1.0	1
Dataset/METU/test_set/Negative/00007.jpg	00007.jpg	0	2.4776525e-06	0
Dataset/METU/test_set/Positive/00007.jpg	00007.jpg	1	1.0	1
Dataset/METU/test_set/Positive/00028.jpg	00028.jpg	1	0.9998734	1
Dataset/METU/test_set/Negative/00028.jpg	00028.jpg	0	0.00011052251	0
Dataset/METU/test_set/Negative/00035.jpg	00035.jpg	0	0.0004203333	0
Dataset/METU/test_set/Positive/00035.jpg	00035.jpg	1	0.9902547	1
Dataset/METU/test_set/Positive/00040.jpg	00040.jpg	1	1.0	1
Dataset/METU/test_set/Negative/00040.jpg	00040.jpg	0	0.0039856457	0
Dataset/METU/test_set/Negative/00048.jpg	00048.jpg	0	9.630396e-05	0
Dataset/METU/test_set/Positive/00048.jpg	00048.jpg	1	1.0	1
Dataset/METU/test_set/Negative/00050.jpg	00050.jpg	0	1.4337256e-09	0
Dataset/METU/test_set/Positive/00050.jpg	00050.jpg	1	1.0	1
Dataset/METU/test_set/Negative/00053.jpg	00053.jpg	0	2.3038942e-06	0
Dataset/METU/test_set/Positive/00053.jpg	00053.jpg	1	1.0	1
Dataset/METU/test_set/Negative/00070.jpg	00070.jpg	0	2.475776e-10	0
Dataset/METU/test_set/Positive/00070.jpg	00070.jpg	1	1.0	1
Dataset/METU/test_set/Negative/00075.jpg	00075.jpg	0	9.656858e-06	0
Dataset/METU/test_set/Positive/00075.jpg	00075.jpg	1	1.0	1
Dataset/METU/test_set/Positive/00076.jpg	00076.jpg	1	1.0	1
Dataset/METU/test_set/Negative/00076.jpg	00076.jpg	0	1.4326936e-07	0
Dataset/METU/test_set/Negative/00084.jpg	00084.jpg	0	2.9709825e-06	0
Dataset/METU/test_set/Positive/00084.jpg	00084.jpg	1	1.0	1
Dataset/METU/test_set/Positive/00095.jpg	00095.jpg	1	1.0	1
Dataset/METU/test_set/Negative/00095.jpg	00095.jpg	0	4.9188016e-06	0
Dataset/METU/test_set/Positive/00096.jpg	00096.jpg	1	1.0	1
Dataset/METU/test_set/Negative/00096.jpg	00096.jpg	0	3.5624546e-09	0
Dataset/METU/test_set/Negative/00099.jpg	00099.jpg	0	0.0007400816	0
Dataset/METU/test_set/Positive/00099.jpg	00099.jpg	1	1.0	1
Dataset/METU/test_set/Positive/00102.jpg	00102.jpg	1	1.0	1
Dataset/METU/test_set/Negative/00102.jpg	00102.jpg	0	0.0024255463	0
