FilePaths	FileNames	RealLabel	PredictScore	PredictClass
Dataset/SDNET_2018/test_set/Negative/001-1.jpg	001-1.jpg	0	0.010984898	0
Dataset/SDNET_2018/test_set/Positive/001-101.jpg	001-101.jpg	1	0.109197825	0
Dataset/SDNET_2018/test_set/Positive/001-102.jpg	001-102.jpg	1	0.13567546	0
Dataset/SDNET_2018/test_set/Negative/001-111.jpg	001-111.jpg	0	0.14624351	0
Dataset/SDNET_2018/test_set/Negative/001-112.jpg	001-112.jpg	0	0.06035322	0
Dataset/SDNET_2018/test_set/Negative/001-117.jpg	001-117.jpg	0	0.0943805	0
Dataset/SDNET_2018/test_set/Negative/001-118.jpg	001-118.jpg	0	0.08841556	0
Dataset/SDNET_2018/test_set/Negative/001-120.jpg	001-120.jpg	0	0.2258786	0
Dataset/SDNET_2018/test_set/Positive/001-126.jpg	001-126.jpg	1	0.97209513	1
Dataset/SDNET_2018/test_set/Negative/001-127.jpg	001-127.jpg	0	0.12544179	0
Dataset/SDNET_2018/test_set/Positive/001-128.jpg	001-128.jpg	1	0.17209795	0
Dataset/SDNET_2018/test_set/Negative/001-136.jpg	001-136.jpg	0	0.07621127	0
Dataset/SDNET_2018/test_set/Positive/001-145.jpg	001-145.jpg	1	0.70026624	1
Dataset/SDNET_2018/test_set/Positive/001-146.jpg	001-146.jpg	1	0.2482591	0
Dataset/SDNET_2018/test_set/Negative/001-147.jpg	001-147.jpg	0	0.06477937	0
Dataset/SDNET_2018/test_set/Negative/001-150.jpg	001-150.jpg	0	0.044707447	0
Dataset/SDNET_2018/test_set/Negative/001-158.jpg	001-158.jpg	0	0.16413724	0
Dataset/SDNET_2018/test_set/Negative/001-161.jpg	001-161.jpg	0	0.18385181	0
Dataset/SDNET_2018/test_set/Negative/001-164.jpg	001-164.jpg	0	0.0355424	0
Dataset/SDNET_2018/test_set/Negative/001-17.jpg	001-17.jpg	0	0.30691457	0
Dataset/SDNET_2018/test_set/Negative/001-188.jpg	001-188.jpg	0	0.061723888	0
Dataset/SDNET_2018/test_set/Negative/001-196.jpg	001-196.jpg	0	0.21310031	0
Dataset/SDNET_2018/test_set/Negative/001-197.jpg	001-197.jpg	0	0.24004832	0
